Trainable Param: 481
Iteration (59200/100000): Loss=2.165e-03
Iteration (59300/100000): Loss=2.178e-03
Iteration (59400/100000): Loss=2.155e-03
Iteration (59500/100000): Loss=2.259e-03
Iteration (59600/100000): Loss=2.155e-03
Iteration (59700/100000): Loss=3.247e-02
Iteration (59800/100000): Loss=2.151e-03
Iteration (59900/100000): Loss=6.110e-03
Iteration (60000/100000): Loss=2.144e-03
Iteration (60100/100000): Loss=3.247e-03
Iteration (60200/100000): Loss=2.141e-03
Iteration (60300/100000): Loss=1.930e-01
Iteration (60400/100000): Loss=2.140e-03
Iteration (60500/100000): Loss=2.132e-03
Iteration (60600/100000): Loss=4.342e-03
Iteration (60700/100000): Loss=2.132e-03
Iteration (60800/100000): Loss=2.639e-03
Iteration (60900/100000): Loss=2.135e-03
Iteration (61000/100000): Loss=2.394e-03
Iteration (61100/100000): Loss=2.876e-03
Iteration (61200/100000): Loss=2.119e-03
Iteration (61300/100000): Loss=2.374e-03
Iteration (61400/100000): Loss=2.116e-03
Iteration (61500/100000): Loss=2.461e-02
Iteration (61600/100000): Loss=2.118e-03
Iteration (61700/100000): Loss=2.235e-03
Iteration (61800/100000): Loss=3.515e-03
Iteration (61900/100000): Loss=2.106e-03
Iteration (62000/100000): Loss=6.871e-02
Iteration (62100/100000): Loss=2.109e-03
Iteration (62200/100000): Loss=2.100e-03
Iteration (62300/100000): Loss=5.379e-02
Iteration (62400/100000): Loss=2.102e-03
Iteration (62500/100000): Loss=2.093e-03
Iteration (62600/100000): Loss=2.389e-03
Iteration (62700/100000): Loss=2.093e-03
Iteration (62800/100000): Loss=2.092e-03
Iteration (62900/100000): Loss=2.096e-03
Iteration (63000/100000): Loss=2.432e-03
Iteration (63100/100000): Loss=2.152e-03
Iteration (63200/100000): Loss=2.081e-03
Iteration (63300/100000): Loss=2.171e-03
Iteration (63400/100000): Loss=2.266e-03
